id,okud,expl2220,current2220,previous2220,current2200,previous2200,expl2320,current2320,previous2320,expl2330,current2330,previous2330,expl2340,current2340,previous2340,expl2350,current2350,previous2350,current2300,previous2300,expl2410,current2410,previous2410,current2400,previous2400,current2411,previous2411,current2412,previous2412,current2500,previous2500,expl2110,current2110,previous2110,expl2120,current2120,previous2120,current2100,previous2100,address,company_name,expl2200,expl2300,expl2400,expl2411,expl2412,expl2100,current2510,current2900,previous2900,current2910,previous2910,current2210,previous2210,current2460,previous2460,previous2510,expl2500,expl2900,current2530,previous2530,expl2210,current2310,previous2310,current2520,current2420,previous2520,expl2910,expl2460,expl2310,previous2420,expl2510,expl2420,expl2520,expl2530
57295283.0,0710002,4.7,59319.0,50615.0,13585.0,-69467.0,,67965.0,62724.0,,204294.0,179349.0,4.8,6681.0,9541.0,4.8,6336.0,11608.0,-122399.0,-188159.0,,30089.0,54312.0,-92310.0,-133852.0,,,30089.0,54307.0,-68665.0,129116.0,4.7,387481.0,165862.0,4.7,314577.0,184714.0,72904.0,-18852.0,"350020, Краснодарский край, г.о. город Краснодар, г Краснодар, ул Красная, д. 176, стр. А,  10, ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ"" (АО ""БИЛДИНГ"")",,,,,6,,23645.0,-92310.53,-133852.05,,,,,0.0,-5.0,262968.0,,,,,,,,,,,,,,,,,,
54638641.0,0710002,,,,,,,,,,,,,2000.0,781.0,,1026.0,19984.0,,,,8.0,4.0,208.0,-20009.0,,,,,,,,750.0,,,1508.0,802.0,,,"643,241050,32,,Брянск г,,Калинина ул,81,,","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54598835.0,0710002,,270.0,2862.0,-61.0,12113.0,,1884.0,1277.0,,0.0,,,1805.0,93458.0,,31277.0,27208.0,-27649.0,79640.0,,-86.0,-6658.0,-27735.0,72982.0,86.0,,,,-27735.0,72982.0,,1836.0,49246.0,,1627.0,34271.0,209.0,14975.0,"Ставропольский край, г. Буденновск, ул. Розы Люксембург, д. 31, 356800","Акционерное общество"" Буденновское монтажное управление""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
56228376.0,0710002,2.13,71104.0,74965.0,78972.0,75073.0,,11451.0,20319.0,,316.0,533.0,,4856.0,12910.0,,5395.0,1019.0,89568.0,106750.0,2.14,-25123.0,-21476.0,64445.0,85274.0,23116.0,21350.0,-2007.0,-126.0,64445.0,85274.0,2.12,2128917.0,1166238.0,2.13,1978841.0,1016200.0,150076.0,150038.0,"125009, Москва г, Брюсов пер, дом № 2/14, строение 5","Акционерное общество ""Вест Констракшн""",,,,,,,,644448.84,852736.25,,,,,,,,2.9,,,,,,,,,,,,,,,,,
56299872.0,0710002,,18075.0,27188.0,-18137.0,67119.0,,115.0,1243.0,,1830.0,3127.0,,1497.0,807.0,,328.0,1318.0,-18683.0,64724.0,,,,-18777.0,61775.0,,,,,-18777.0,61775.0,,0.0,214365.0,,0.0,97336.0,0.0,117029.0,"115432, Москва г, вн.тер.г. муниципальный округ Даниловский, пр-кт Андропова, д. 10, помещение 98, ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",,,,,,,0.0,,,,,62.0,22722.0,,,,,,,,,,,,,,,,,,,,,
56356046.0,0710002,12,49633.0,40120.0,123925.0,103803.0,12,20890.0,5654.0,,0.0,499.0,12,2208.0,928.0,12,3385.0,506.0,143638.0,109380.0,12,-36727.0,-22345.0,106911.0,87035.0,36070.0,22637.0,-657.0,295.0,106911.0,87035.0,12,886134.0,1123733.0,12,712576.0,979810.0,173558.0,143923.0,"600005, Владимирская область, г.о. город Владимир, г Владимир, ул Почаевский Овраг, д. 1, стр. 1, офис 1","Акционерное общество  ""Владимир-Союзпроммонтаж""",,,,,,,0.0,17983.35,14640.03,,,,,,,,,12,,,,,,,,,,,,,,,,
57013889.0,0710002,,,,-1887.0,19834.0,,,,,1806.0,2382.0,,48600.0,626.0,,45698.0,3989.0,-791.0,14089.0,,0.0,-2818.0,-1189.0,11228.0,0.0,2818.0,,,-1189.0,11228.0,,108290.0,215490.0,,110177.0,195656.0,-1887.0,19834.0,"643,394055,36,,Воронеж,,Моисеева,37,,оф.2","Акционерное Общество ""Воронежстрой""",,,,,,,,,,,,,,-398.0,-43.0,,,,,,,,,,,,,,,,,,,
53511173.0,0710002,,30130.0,31648.0,1152.0,7607.0,,4214.0,1936.0,,0.0,,,452.0,759.0,,1454.0,1530.0,4364.0,8772.0,,-1334.0,-1946.0,3030.0,6826.0,1334.0,1946.0,,,3030.0,6826.0,,54883.0,61417.0,,23601.0,22162.0,31282.0,39255.0,"660111, Красноярский край, Красноярск г, Башиловская ул, дом № 5","Акционерное общество ""Восточная Сибирь""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54879477.0,0710002,,20482.0,15369.0,38563.0,-6038.0,,901.0,3195.0,,0.0,,,7671.0,4343.0,,25895.0,629.0,21240.0,871.0,,-16738.0,-71.0,4502.0,800.0,6686.0,71.0,-10053.0,,4502.0,800.0,,359540.0,88109.0,,300495.0,78778.0,59045.0,9331.0,"614000, Пермский край, г.о. Пермский, г Пермь, ул Пермская, д. 126а, ","АКЦИОНЕРНОЕ ОБЩЕСТВО  ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57534720.0,0710002,,,,6503.0,11468.0,,,,,,,,,,,274.0,288.0,6229.0,11180.0,,-1246.0,-1622.0,4983.0,9558.0,1246.0,1622.0,,,4983.0,9558.0,,301804.0,298305.0,,295301.0,286837.0,6503.0,11468.0,"г. Владивосток, ул. Русская, д. 93, 690105","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55649501.0,0710002,,0.0,1010.0,0.0,-6108.0,,3.0,2.0,,0.0,,,192811.0,5100.0,,298842.0,7983.0,-106028.0,-8989.0,,,,-106028.0,-8989.0,,,,,-106028.0,-8989.0,,0.0,2.0,,0.0,5100.0,0.0,-5098.0,"г. Москва, вн.тер.г. муниципальный округ Хамовники, ул. Тимура Фрунзе, д. 16, стр. 3, 119021","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЛАВЗАРУБЕЖСТРОЙ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57646925.0,0710002,,24641.0,26670.0,-1354.0,-7003.0,,0.0,,,0.0,,,3874.0,4191.0,,2114.0,16580.0,406.0,-19392.0,,-177.0,-11.0,229.0,-19403.0,177.0,11.0,,,229.0,-19403.0,,130823.0,129159.0,,107536.0,109492.0,23287.0,19667.0,"127083, Москва г, Петровско-Разумовская аллея, дом № 10, корпус 2","Акционерное общество  ""ГЛАВУКС""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57644390.0,0710002,,11808.0,13790.0,-8857.0,-1503.0,,0.0,2341.0,,,,,14321.0,464.0,,15052.0,3180.0,-9588.0,-1878.0,,-401.0,,-10012.0,-33795.0,401.0,,,,-10012.0,-33795.0,,21147.0,27115.0,,18196.0,14828.0,2951.0,12287.0,"214019, Смоленская обл, Смоленск г, Трамвайный проезд, дом 14, офис 105","Акционерное общество ""ГРАЖДАНСТРОЙ""",,,,,,,,,,,,,,-23.0,-28159.0,,,,,,,,,,,,,,,,,,,
57777374.0,0710002,3.14,305357.0,269625.0,31455.0,73204.0,,21445.0,27724.0,,0.0,1711.0,3.15,23781.0,50736.0,3.15,50228.0,62516.0,26453.0,87437.0,3.16,-7405.0,-13556.0,19048.0,73881.0,5448.0,14481.0,-1957.0,925.0,19048.0,73881.0,3.14,2161905.0,3337029.0,3.14,1825093.0,2994200.0,336812.0,342829.0,"107031, Москва г, вн.тер.г. муниципальный округ Мещанский, пл Трубная, д. 2, кв. 14/1п, ","Акционерное общество ""ГРАНИ ГОРОДА""",,,,3.16,,,0.0,190488.71,738802.76,,,,,,,,,3.18,,,,,,,,,,,,,,,,
55557980.0,0710002,,10908.0,12927.0,-2258.0,1874.0,,0.0,,,0.0,,,9773.0,,,6591.0,813.0,924.0,1061.0,,-286.0,-212.0,638.0,849.0,286.0,212.0,,,638.0,849.0,,26564.0,160774.0,,17914.0,145973.0,8650.0,14801.0,"367013, Дагестан Респ, г.о. город Махачкала, г Махачкала, вн.р-н Ленинский район, пр-кт Гамидова, д. 27, ","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДАГЕСТАНСТРОЙ""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
54062082.0,0710002,,,,,,,,,,,,,83.0,1956.0,,3286.0,5980.0,,,,0.0,,-9124.0,-10971.0,,,,,,,,37430.0,48889.0,,43351.0,55836.0,,,"692940, Приморский край, Находка г, Крайнева ул, дом № 8","Акционерное общество ""ДАЛЬМОРМОНТАЖ-ВОСТОЧНЫЙ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56470430.0,0710002,,17282.0,13112.0,20170.0,6864.0,,0.0,,,0.0,,,0.0,,,13105.0,924.0,7065.0,5940.0,,-1813.0,-1178.0,5252.0,4762.0,1842.0,1178.0,29.0,,5252.0,4762.0,,160522.0,139562.0,,123070.0,119586.0,37452.0,19976.0,"129090, Город Москва, вн.тер. г. Муниципальный Округ Мещанский, ул Гиляровского, дом 4, строение 5, офис 113","Акционерное общество ""ДАМАЛА""",,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
57403132.0,0710002,,18813.0,34628.0,-5646.0,27566.0,,9440.0,1075.0,,360.0,1033.0,,0.0,1785.0,,1936.0,11751.0,1498.0,17642.0,,1114.0,-5128.0,2612.0,12346.0,374.0,1267.0,1488.0,-3862.0,2612.0,12346.0,,24604.0,111272.0,,11437.0,49078.0,13167.0,62194.0,"119285, Город Москва, ул. Пудовкина, дом 13, помещение VIII","Акционерное общество ""ДЖИТЕХ""",,,,,,,0.0,,,,,,,0.0,-168.0,,,,,,,,,,,,,,,,,,,
56776101.0,0710002,10.,9051.0,12010.0,-9051.0,-9252.0,5.11,1160.0,1481.0,5.11,55.0,597.0,5.11,3502.0,2970.0,5.11,389.0,1012.0,-4833.0,-6410.0,5.11,1134.0,1555.0,-3699.0,-4855.0,,,1134.0,1555.0,-3699.0,-4855.0,5.11,0.0,2758.0,5.11,0.0,,0.0,2758.0,"443028, Самарская область, г. Самара, п. Мехзавод, кв-л 1-Й, дом 31, помещение 1","Акционерное общество ""ДИРЕКЦИЯ ОБЪЕКТОВ РЕКОНСТРУКЦИИ И СТРОИТЕЛЬСТВА""",,,,,5.11,,,0.0,,,,,,,,,,5.8.,,,,,,,,,,,,,,,,
57469487.0,0710002,,24789.0,18692.0,-24789.0,-18692.0,,201277.0,148887.0,,0.0,,,3068.0,76642.0,,19361.0,150486.0,160195.0,56351.0,,-41466.0,-11270.0,118729.0,42263.0,43450.0,18277.0,1984.0,7007.0,118729.0,42263.0,,,,,,,,,"Московская обл., г. Долгопрудный, ул. Набережная, д. 23, к. 1, 141704","АО ""Долгопрудненское управление капитального строительства""",,,,,,,0.0,119.0,42.0,,,,,0.0,-2818.0,,,,,,,,,,,,,,,,,,,
55156335.0,0710002,,,,5357.0,43132.0,,17187.0,7956.0,,,,,0.0,11271.0,,13626.0,52885.0,8918.0,9474.0,,-2853.0,-2926.0,6065.0,6548.0,2853.0,2926.0,,,6065.0,6548.0,,105596.0,46761.0,,100239.0,3629.0,5357.0,43132.0,"г. Белгород, ул. Чехова, д. 2А, оф. 109, 308014","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДОМОСТРОИТЕЛЬНАЯ КОМПАНИЯ""-СПЕЦИАЛИЗИРОВАННЫЙ ЗАСТРОЙЩИК""",,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,
56282242.0,0710002,,13512.0,11579.0,-28250.0,-74396.0,,133832.0,217091.0,,475974.0,547475.0,,190135.0,195653.0,,190427.0,299594.0,-370684.0,-508721.0,,88242.0,719254.0,-282442.0,210533.0,,,88242.0,719254.0,-282442.0,210533.0,,21966.0,80532.0,,36704.0,143349.0,-14738.0,-62817.0,"123007, Москва г, вн.тер.г. муниципальный округ Хорошевский, ул 5-я Магистральная, д. 4, ","Акционерное общество ""Домостроительный Комбинат № 1""",,,,,П13,,,-10.5,7.83,,,,,,,,,,,,,,,,,,,,,,,,,
55064710.0,0710002,,21956.0,19513.0,1056.0,5311.0,,62.0,14.0,,,,,1581.0,75.0,,1846.0,4873.0,853.0,527.0,,-474.0,-210.0,379.0,317.0,478.0,214.0,4.0,4.0,379.0,317.0,,94099.0,98400.0,,71087.0,73576.0,23012.0,24824.0,"603047, Нижегородская обл, Нижний Новгород г, Героя Рябцева ул, дом 1В, корпус 21","Акционерное Общество ""Домостроительный комбинат №2""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57555133.0,0710002,,13505.0,13388.0,11574.0,7683.0,,0.0,129.0,,,,,16587.0,10760.0,,24916.0,16934.0,3245.0,1638.0,,-633.0,-1429.0,2612.0,209.0,689.0,1429.0,56.0,,2612.0,209.0,,324519.0,416593.0,,299440.0,395522.0,25079.0,21071.0,"410019, Саратовская обл, г Саратов, ул Зеленая, д. 107, кв. 26, ","Акционерное общество ""Дорожный Центр Внедрения""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56555907.0,0710002,,40076.0,114863.0,-15696.0,-102622.0,,,,,,,,60498.0,131471.0,,43905.0,27558.0,897.0,1291.0,,-224.0,-18514.0,673.0,-17223.0,224.0,122.0,0.0,-18392.0,673.0,-17223.0,,55954.0,22213.0,,30749.0,9953.0,25205.0,12260.0,"660049, Красноярский край, Красноярск г, Мира пр-кт, дом № 18","Акционерное общество ""ДСК""",,,,,,,,,,,,825.0,19.0,,,,,,,,,,,,,,,,,,,,,
56695204.0,0710002,10,206231.0,268427.0,145454.0,177080.0,,0.0,774.0,,66040.0,88743.0,12.2,151018.0,97861.0,12.2,10356.0,21999.0,220076.0,164973.0,,-85850.0,-53696.0,134226.0,111332.0,85850.0,53696.0,,,134226.0,111332.0,,715409.0,903484.0,10,363724.0,457977.0,351685.0,445507.0,"125284, Москва г, вн.тер.г. муниципальный округ Хорошевский, ш Хорошёвское, д. 16, стр. 3","Акционерное Общество""ДСУ-1""",,,,,,,0.0,,,,,,,0.0,55.0,,,,,,,,,,,,,,,,,,,
