id,okud,current2210,previous2210,current2220,previous2220,current2200,previous2200,current2320,previous2320,current2330,previous2330,current2340,previous2340,current2350,previous2350,current2300,previous2300,current2410,previous2410,current2400,previous2400,current2411,previous2411,current2412,current2500,previous2500,current2110,previous2110,current2120,previous2120,current2100,previous2100,address,company_name,current2460,previous2412,current2900,previous2900,current2310,previous2310,previous2460,expl2340,expl2350,expl2410,expl2110,expl2120,current2510,expl2220,expl2320,expl2300,expl2900,expl2411,expl2412,expl2210,current2530,previous2510,previous2530,current2520,previous2520,current2910,previous2910,expl2330,expl2400,expl2500,expl2460,expl2100,expl2200,expl2310
51630814.0,0710002,,,802.0,5929.0,-802.0,-1415.0,,,,,781.0,50917.0,19984.0,1606.0,-20005.0,47896.0,-4.0,-107.0,-20009.0,47789.0,4.0,107.0,,-20009.0,47789.0,0.0,6646.0,0.0,2132.0,0.0,4514.0,"643,241050,32,,Брянск г,,Калинина ул,81,,","АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51659996.0,0710002,,,2862.0,7397.0,12113.0,14835.0,1277.0,,,,93458.0,,27208.0,13918.0,79640.0,917.0,-6658.0,-750.0,72982.0,167.0,,,,72982.0,167.0,49246.0,23199.0,34271.0,967.0,14975.0,22232.0,"356800, Ставропольский край, Буденновский район, Буденновск г., Розы Люксембург, д. 31","Акционерное общество"" Буденновское монтажное управление""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52220708.0,0710002,,,74965.0,57384.0,75073.0,-7644.0,20319.0,16304.0,533.0,,12910.0,10717.0,1019.0,1519.0,106750.0,17858.0,-21476.0,-2127.0,85274.0,15731.0,21350.0,2127.0,-126.0,85274.0,15731.0,1166238.0,428084.0,1016200.0,378344.0,150038.0,49740.0,"125009, Москва г, Брюсов пер, дом № 2/14, строение 5","Акционерное общество ""Вест Констракшн""",,,853.0,157.0,,,,3.14,3.17,3.21,3.12,3.15,,3.16,3.13,3.20,3.24,,,,,,,,,,,,,,,,,
52644994.0,0710002,263.0,722.0,15587.0,38465.0,1218.0,8557.0,1233.0,2868.0,3235.0,4973.0,764.0,7.0,998.0,1319.0,-1018.0,5140.0,-701.0,-4307.0,-1719.0,833.0,,,,-1719.0,833.0,144265.0,85156.0,127197.0,37412.0,17068.0,47744.0,"115432, Город Москва, вн.тер.г. муниципальный округ Даниловский, пр-кт Андропова, д. 10, помещ. 98","Акционерное общество ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52384871.0,0710002,,,40120.0,29437.0,103803.0,32559.0,5654.0,149.0,499.0,874.0,928.0,482.0,506.0,969.0,109380.0,31347.0,-22345.0,-6336.0,87035.0,25011.0,22637.0,5637.0,295.0,87035.0,25011.0,1123733.0,593130.0,979810.0,531134.0,143923.0,61996.0,"600005, Владимирская область, г.о. город Владимир, г Владимир, ул Почаевский Овраг, д. 1, стр. 1, офис 1","Акционерное общество  ""Владимир-Союзпроммонтаж""",0.0,-699.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52861002.0,0710002,,,99308.0,101844.0,5284.0,-94145.0,,,,,35850.0,144657.0,41258.0,233218.0,-124.0,-182706.0,-3066.0,-4458.0,-3190.0,-188761.0,890.0,826.0,-2175.0,-3190.0,-188761.0,539380.0,806676.0,434788.0,798977.0,104592.0,7699.0,"127566, Москва г, пр-д Высоковольтный, д. 9","Акционерное общество ""ВОЛС-СЕРВИС""",0.0,-3633.0,,,,,-1597.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50696593.0,0710002,,,,,19834.0,17510.0,,,2382.0,1961.0,626.0,2918.0,3989.0,5816.0,14089.0,12651.0,-2818.0,-2530.0,11228.0,10109.0,2818.0,2530.0,,11228.0,10109.0,215490.0,232773.0,195656.0,215263.0,19834.0,17510.0,"643,394055,36,,Воронеж,,Моисеева,37,,оф.2","Акционерное Общество ""Воронежстрой""",-43.0,,,,,,-12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
50424697.0,0710002,,,31648.0,22278.0,7607.0,6050.0,1936.0,738.0,0.0,33.0,899.0,1717.0,1670.0,2498.0,8772.0,5974.0,-1946.0,-1137.0,6826.0,4837.0,1946.0,1137.0,,6826.0,4837.0,61417.0,82129.0,22162.0,53801.0,39255.0,28328.0,"660111, Красноярский край, Красноярск г, Башиловская ул, дом № 5","Акционерное общество ""Восточная Сибирь""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51493779.0,0710002,,,15369.0,10636.0,-6038.0,-3024.0,3195.0,1301.0,,,6879.0,2556.0,3165.0,775.0,871.0,58.0,-71.0,,800.0,58.0,71.0,,,800.0,58.0,88109.0,112635.0,78778.0,105023.0,9331.0,7612.0,"614000, Пермский край, г Пермь, ул Пермская, д 126а","АКЦИОНЕРНОЕ ОБЩЕСТВО  ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52746611.0,0710002,,,,,11468.0,-2789.0,,,,,,,288.0,280.0,11180.0,-3069.0,-1622.0,,9558.0,-3069.0,1622.0,,,9558.0,-3069.0,298305.0,132133.0,286837.0,134922.0,11468.0,-2789.0,"г. Владивосток, ул. Русская, д. 93, 690105","АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДЧИК""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
